关键词,方案ID,消费额,跳出率,平均访问时长_秒,cluster
6510,525368335,1.89,0.5,26.0,0
6516,525368335,110.03,1.0,3.0,2
6518,525368335,10.03,0.4286,322.0,0
6522,525368335,31241.97,0.8863,39.0,1
6523,525368335,1.35,1.0,37.0,2
6542,525368335,2.88,1.0,502.0,2
6554,525368335,22.07,0.5714,127.0,2
6561,525368335,190.83,0.8333,108.0,1
6579,525368335,10.19,1.0,54.0,2
6595,525368335,2.0,0.0,,0
6601,525368335,0.75,1.0,8.0,2
6607,525368335,2674.93,0.6209,240.0,1
6616,525368335,5.75,0.3333,19.0,0
6639,525368335,0.69,1.0,120.0,2
6641,525368335,0.37,0.0,,0
6648,525368335,18.0,0.8,39.0,2
6662,525368335,3.14,0.0,7.0,0
